,Date from,Cash rate target %,Owner occupied (principal and interest)(%pa),ehl70_pi,1 Year Fixed (%pa),2 Year Fixed (%pa),3 Year Fixed (%pa),4 Year Fixed (%pa),5 Year Fixed (%pa)
355,1990-08-02 00:00:00.000000,14.0,,,,,,,
354,1990-09-05 00:00:00.000000,14.0,,,,,,,
353,1990-10-15 00:00:00.000000,13.0,,,,,,,
352,1990-11-07 00:00:00.000000,13.0,,,,,,,
351,1990-12-18 00:00:00.000000,12.0,,,,,,,
350,1991-02-06 00:00:00.000000,12.0,,,,,,,
349,1991-03-06 00:00:00.000000,12.0,,,,,,,
348,1991-04-04 00:00:00.000000,11.5,,,,,,,
347,1991-05-16 00:00:00.000000,10.5,,,,,,,
346,1991-06-14 00:00:00.000000,10.5,,,,,,,
345,1991-07-03 00:00:00.000000,10.5,,,,,,,
344,1991-07-31 00:00:00.000000,10.5,,,,,,,
343,1991-09-03 00:00:00.000000,9.5,,,,,,,
342,1991-10-02 00:00:00.000000,9.5,,,,,,,
341,1991-11-06 00:00:00.000000,8.5,,,,,,,
340,1991-12-04 00:00:00.000000,8.5,,,,,,,
339,1992-01-08 00:00:00.000000,7.5,,,,,,,
338,1992-02-05 00:00:00.000000,7.5,,,,,,,
337,1992-03-04 00:00:00.000000,7.5,,,,,,,
336,1992-04-08 00:00:00.000000,7.5,,,,,,,
335,1992-05-06 00:00:00.000000,6.5,,,,,,,
334,1992-06-03 00:00:00.000000,6.5,,,,,,,
333,1992-07-08 00:00:00.000000,5.75,,,,,,,
332,1992-07-29 00:00:00.000000,5.75,,,,,,,
331,1992-09-02 00:00:00.000000,5.75,,,,,,,
330,1992-10-07 00:00:00.000000,5.75,,,,,,,
329,1992-11-04 00:00:00.000000,5.75,,,,,,,
328,1992-12-02 00:00:00.000000,5.75,,,,,,,
327,1993-02-03 00:00:00.000000,5.75,,,,,,,
326,1993-03-23 00:00:00.000000,5.25,,,,,,,
325,1993-04-07 00:00:00.000000,5.25,,,,,,,
324,1993-05-05 00:00:00.000000,5.25,,,,,,,
323,1993-06-02 00:00:00.000000,5.25,,,,,,,
322,1993-07-07 00:00:00.000000,5.25,,,,,,,
321,1993-07-30 00:00:00.000000,4.75,,,,,,,
320,1993-09-08 00:00:00.000000,4.75,,,,,,,
319,1993-10-06 00:00:00.000000,4.75,,,,,,,
318,1993-11-03 00:00:00.000000,4.75,,,,,,,
317,1993-12-08 00:00:00.000000,4.75,,,,,,,
316,1994-02-02 00:00:00.000000,4.75,,,,,,,
315,1994-03-02 00:00:00.000000,4.75,,,,,,,
314,1994-03-30 00:00:00.000000,4.75,,,,,,,
313,1994-05-04 00:00:00.000000,4.75,,,,,,,
312,1994-06-08 00:00:00.000000,4.75,,,,,,,
311,1994-07-06 00:00:00.000000,4.75,,,,,,,
310,1994-07-27 00:00:00.000000,4.75,,,,,,,
309,1994-08-17 00:00:00.000000,5.5,,,,,,,
308,1994-09-07 00:00:00.000000,5.5,,,,,,,
307,1994-10-24 00:00:00.000000,6.5,,,,,,,
306,1994-11-02 00:00:00.000000,6.5,,,,,,,
305,1994-12-14 00:00:00.000000,7.5,,,,,,,
304,1995-02-08 00:00:00.000000,7.5,,,,,,,
303,1995-03-08 00:00:00.000000,7.5,,,,,,,
302,1995-04-05 00:00:00.000000,7.5,,,,,,,
301,1995-05-03 00:00:00.000000,7.5,,,,,,,
300,1995-06-07 00:00:00.000000,7.5,,,,,,,
299,1995-07-05 00:00:00.000000,7.5,,,,,,,
298,1995-07-26 00:00:00.000000,7.5,,,,,,,
297,1995-09-06 00:00:00.000000,7.5,,,,,,,
296,1995-10-04 00:00:00.000000,7.5,,,,,,,
295,1995-11-08 00:00:00.000000,7.5,,,,,,,
294,1995-12-06 00:00:00.000000,7.5,,,,,,,
293,1996-02-07 00:00:00.000000,7.5,,,,,,,
292,1996-03-06 00:00:00.000000,7.5,,,,,,,
291,1996-04-03 00:00:00.000000,7.5,,,,,,,
290,1996-05-08 00:00:00.000000,7.5,,,,,,,
289,1996-06-05 00:00:00.000000,7.5,,,,,,,
288,1996-07-03 00:00:00.000000,7.5,,,,,,,
287,1996-07-31 00:00:00.000000,7.0,,,,,,,
