,Date from,Cash rate target %,Owner occupied (principal and interest)(%pa),ehl70_pi,Percentage Change from Corresponding Quarter of Previous Year ;  All groups CPI ;  Australia ;,Unemployment rate ;  Persons ;.1,confidence
9,1948-09-01 00:00:00.000000,,,,,,
10,1948-12-01 00:00:00.000000,,,,,,
11,1949-03-01 00:00:00.000000,,,,,,
12,1949-06-01 00:00:00.000000,,,,,,
13,1949-09-01 00:00:00.000000,,,,10.8,,
14,1949-12-01 00:00:00.000000,,,,7.9,,
15,1950-03-01 00:00:00.000000,,,,7.7,,
16,1950-06-01 00:00:00.000000,,,,7.5,,
17,1950-09-01 00:00:00.000000,,,,7.3,,
18,1950-12-01 00:00:00.000000,,,,12.2,,
19,1951-03-01 00:00:00.000000,,,,14.3,,
20,1951-06-01 00:00:00.000000,,,,18.6,,
21,1951-09-01 00:00:00.000000,,,,20.5,,
22,1951-12-01 00:00:00.000000,,,,23.9,,
23,1952-03-01 00:00:00.000000,,,,22.9,,
24,1952-06-01 00:00:00.000000,,,,19.6,,
25,1952-09-01 00:00:00.000000,,,,17.0,,
26,1952-12-01 00:00:00.000000,,,,10.5,,
27,1953-03-01 00:00:00.000000,,,,6.8,,
28,1953-06-01 00:00:00.000000,,,,4.9,,
29,1953-09-01 00:00:00.000000,,,,4.8,,
30,1953-12-01 00:00:00.000000,,,,1.6,,
31,1954-03-01 00:00:00.000000,,,,3.2,,
32,1954-06-01 00:00:00.000000,,,,1.6,,
33,1954-09-01 00:00:00.000000,,,,0.0,,
34,1954-12-01 00:00:00.000000,,,,1.6,,
35,1955-03-01 00:00:00.000000,,,,0.0,,
36,1955-06-01 00:00:00.000000,,,,1.5,,
37,1955-09-01 00:00:00.000000,,,,1.5,,
38,1955-12-01 00:00:00.000000,,,,3.1,,
39,1956-03-01 00:00:00.000000,,,,3.1,,
40,1956-06-01 00:00:00.000000,,,,6.1,,
41,1956-09-01 00:00:00.000000,,,,7.6,,
42,1956-12-01 00:00:00.000000,,,,6.0,,
43,1957-03-01 00:00:00.000000,,,,6.0,,
44,1957-06-01 00:00:00.000000,,,,2.9,,
45,1957-09-01 00:00:00.000000,,,,1.4,,
46,1957-12-01 00:00:00.000000,,,,1.4,,
47,1958-03-01 00:00:00.000000,,,,1.4,,
